ubremen-r27-docks;1;1;27;1;650;600000;COBRA-Distributed;SUCCESS;34184;9615;8;11;19;13;3164;125;3573;1395;3573;1395;132088
ubremen-r27-docks;2;1;27;2;650;600000;COBRA-Distributed;SUCCESS;20645;12554;7;10;20;11;3196;150;3012;1777;3012;1777;97043
ubremen-r27-docks;3;1;27;3;650;600000;COBRA-Distributed;SUCCESS;17761;1816;9;14;18;8;3195;165;4577;1147;4611;1100;80812
ubremen-r27-docks;4;1;27;4;650;600000;COBRA-Distributed;SUCCESS;23477;13436;23;34;27;12;3085;76;3430;2020;3430;2020;92226
ubremen-r27-docks;5;1;27;5;650;600000;COBRA-Distributed;SUCCESS;18717;5038;8;12;20;12;3105;54;2570;151;2570;151;93045
ubremen-r27-docks;6;2;27;1;650;600000;COBRA-Distributed;SUCCESS;24952;12939;25;12;40;25;3274;254;3679;2305;3696;2285;106724
ubremen-r27-docks;7;2;27;2;650;600000;COBRA-Distributed;SUCCESS;31573;17071;31;31;75;64;3355;227;3892;1648;3909;1660;148508
ubremen-r27-docks;8;2;27;3;650;600000;COBRA-Distributed;SUCCESS;28630;14567;15;16;35;15;3324;227;3258;1385;3258;1385;133498
ubremen-r27-docks;9;2;27;4;650;600000;COBRA-Distributed;SUCCESS;25274;9826;31;19;35;11;3268;259;3680;1356;3696;1357;122468
ubremen-r27-docks;10;2;27;5;650;600000;COBRA-Distributed;SUCCESS;29382;8589;42;13;37;9;3304;304;4114;1607;4114;1607;139592
ubremen-r27-docks;11;3;27;1;650;600000;COBRA-Distributed;SUCCESS;19178;4670;39;16;42;25;3292;277;2877;1390;2910;1407;102058
ubremen-r27-docks;12;3;27;2;650;600000;COBRA-Distributed;SUCCESS;27905;19113;44;18;70;59;3385;249;4128;4356;4139;4351;131698
ubremen-r27-docks;13;3;27;3;650;600000;COBRA-Distributed;SUCCESS;24710;13150;36;27;45;29;3416;218;3768;2324;3802;2341;156066
ubremen-r27-docks;14;3;27;4;650;600000;COBRA-Distributed;SUCCESS;22254;11441;54;32;40;16;3448;237;4273;3071;4307;3088;101905
ubremen-r27-docks;15;3;27;5;650;600000;COBRA-Distributed;SUCCESS;21037;11499;31;18;69;70;3350;278;3555;1930;3577;1948;138355
ubremen-r27-docks;16;5;27;1;650;600000;COBRA-Distributed;SUCCESS;23857;15629;61;51;50;19;3340;266;3638;2243;3651;2247;167172
ubremen-r27-docks;18;5;27;3;650;600000;COBRA-Distributed;SUCCESS;22297;11583;1648844;6161016;38;25;3410;234;3958;3078;3971;3079;147543
